Name,Address
ENT Associates Medical West - Oto Bessemer,"5000 Medical West Way #406, Bessemer, AL, 35022"
ENT Associates Medical West - Oto Hoover ,"5310 Medford Dr, Hoover, AL, 35226"
ENT Associates Montgomery,"1773 Platt PL, Montgomery, AL, 36117"
ENT Associates Pell City,"423 23rd St N, Pell City, AL, 35125"
ENT Associates Princeton,"832 Princeton Ave SW, Birmingham, AL, 35211"
ENT Associates St Vincent's," 833 St Vincent's Dr POB3 #402, Birmingham, AL, 35205"
ENT Associates St Vincent's East,"48 Medical Park Dr East #153, Birmingham, AL, 35235"
ENT Associates St Vincent's East Midday,"48 Medical Park Dr East #153, Birmingham, AL, 35235"
ENT Associates St Vincent's Midday,"833 St. Vincents Drive POB#3 Suite 402, Birmingham, AL, 35205"
ENT Associates Tuscaloosa,"1224 Mcfarland Blvd NE Suite A, Tuscaloosa, AL, 35406"
ENT Associates Valleydale,"4501 Southlake Pkwy ste 200, Hoover, AL, 35244"
ENT- HNS of Huntsville,"201 Whitesport Dr SW, Huntsville, AL, 35801"
ENT of Huntsville,"201 Whitesport Drive, Huntsville, AL, 35801"
ENT South- Dothan,"112 Haven Dr #1, Dothan, AL, 36301"
Ernie Hendrix MD,"108 Sanders St., Athens, AL, 35611"
Eufaula Podiatry Center,"624 E Barbour St, Eufala, AL, 36027"
Eugene Tai MD,"2401 Viking Dr, Jasper, AL, 35501"
Excel ENT  8:30am,"2161 Valleydale Rd, Birmingham, AL, 35244"
Excel ENT Homewood,"509 Brookwood Blvd, Birmingham, AL, 35209"
Excel ENT Valleydale/Hoover,"2161 Valleydale Rd, Birmingham, AL, 35244"
Fairhope Family Medicine,"21875 AL-181, Fairhope, AL, 36532"
Fairhope Internal Medicine ,"150 Ingleside St. Ste #6, Fairhope, AL, 36532"
Fairhope Urology,"8720 Fairhope Ave, Fairhope, AL, 36532"
Falkville Medical Center,"434 East Pike Rd, Falkville, AL, 35622"
Family First Healthcare Lago Vista,"8008 Bronco Lane Ste 1, Lago Vista, Tx, 78645"
Family First Lago Vista Weekend,"8008 Bronco Lane Unit A, Lago Vista, TX, 78645"
Family First Rainsville,"504 McCurdy Ave S, Rainesville, AL, 35986"
Family First Scottsboro,"1601 Veterans Dr, Scottsboro, AL, 35769"
Family First Urgent Care,"9288 Stouts Rd, Kimberly, AL, 35091"
Family Foot Care,"6 Office Park Circle, Selma, AL, 36701"
Family Health Associates- Jasper,"801 20th Ave E, Jasper, AL, 35501"
Family Medical Mobile,"5320 US 90, Mobile, AL, 36619"
Family Medicine Associates of East Alabama,"122 N 20th, Ste 24, Opelika, AL, 36801"
Family Medicine Associates- Opelika,"122 N 20th St #24, Opelika, AL, 36801"
Family Medicine Specialist Fairhope,"8367 Morphy Ave Suite B, Fairhope, AL, 36532"
Family Practice Associates,"770 Middle St, Fairhope, AL, 36532"
Fayette Medical Clinic,"1653 Temple Ave N, Fayette, AL, 35555"
Feet for Life,"811 10th Ave N, Bessemer, AL, 35020"
First Care Medical Clinic Gadsden,"309 S. 4th Street, Gadsden, AL, 35901"
First Care Tuscaloosa,"1251 McFarland Blvd NE, Tuscaloosa, AL, 35406"
Fischer Family Medicine,"83745 AL-9, Ashland, AL, 36251"
Florala Health and Rehab,"23621 Goldenrod Ave, Florala, AL, 36442"
Florala Health and Rehab- supply drop,", , , "
Florence Ophthamology,"646 Cox Creek Pkwy, Ste A, Florence, AL, 35630"
FMC Berry,"31 School Ave, Berry, AL, 35546"
FMC Millport,"13530 AL-96, Millport, AL, 35576"
Foot Clinic of Dothan,"1785 E Main St, Dothan, AL, 36301"
Foot Specialist of Alabama- Guntersville,"7633 Hwy 69, Guntersville, AL, 35976"
"Frances Salter, MD","112 6th Ave, Atmore, AL, 36502"
Frank Rudeseal MD,"2057 Valleydale Road Ste 220, Birmingham, AL, 35244"
Frank Rudeseal MD Midday,"2057 Valleydale Rd #220, Birmingham, AL, 35244"
Fred Yerby,"1716 Temple Ave N, Fayette, AL, 35555"
French Family Practice,"333 Whitesport Dr #204, Huntsville, AL, 35801"
Gacek Ear and Sinus,"720 Hillcrest Road, Mobile, AL, 36695"
Gadsden Family & Student Health Solutions,"1216 Wilbanks Ave, Gadsden, AL, 35903"
Gadsden Foot Clinic,"306 S 4th Street, Gadsden, AL, 35901"
Gardendale Urgent Care,"210 Fieldstown Rd. Suite 124, Gardendale, AL, 35071"
Gardendale Urgent Care Midday,"210 Fieldstown Rd Unit 124, Gardendale, AL, 35071"
Garry Magouirk/Dr Stidham,"110 23rd St NW, Fayette, AL, 35555"
GastroHealth St. Vincent's East,"100 Pilot Medical Dr. Suite 250, Birmingham, AL, 35235"
Gavino Dermatology,"9073 W State HWY 29 Suite 108, Liberty Hill, TX, 78642"
General and Vascular Surgery of NW AL,"15225 Hwy 43, ste D, Russellville, AL, 35653"
General Surgery Associates,"4704 Whitesurg Drive Suite 200, Huntsville, AL, 35802"
Generations Red Bay,"106 10th Ave N, Red Bay, AL, 35582"
Generations Vernon,"1050 Convalescent Road, Vernon, AL, 35592"
Gentry Pharmacy ,"3100 Blue Lake Drive, Vestavia Hills, AL, 35243"
Georgiana Health and Rehab,"206 N Palmer Ave, Georgiana, AL, 36033"
Georgiana Health and Rehab- supply drop,", , , "
GI Associates of West Alabama,"1774 McFarland Blvd, Tuscaloosa, AL, 35406"
Glen Haven Health and Rehab,"2201 32nd St, Northport, AL, 35476"
Glen Haven Health and Rehab- Monday Noon,", Northport, AL, 35476"
Glen Haven Health and Rehab- supply drop,", , , "
Gleneagles Family Medicine,"1102 Gleneagle Dr, Huntsville, AL, 35801"
Glenwood Center ,"211 Anna Dr, Florence , AL, 35630"
Grandview Medical Group -  Lee Branch,"201 Doug Baker Blvd, Birmingham, AL, 35242"
Grandview Medical Group – Liberty Park,"8000 Liberty Parkway, Suite 114, Birmingham, AL, 35242"
Grandview Medical Group - Liberty Park (Noon),"8000 Liberty Parkway Suite 114, Birmingham, AL, 35242"
Grandview Medical Homewood - Independence,"3525 Independence Drive, Homewood, AL, 35209"
Grandview OBGYN,"3696 Grandview Pkwy, #320, Birmingham, AL, 35243"
Grandview Pelham,"30 Racquet Club Pkwy, Pelham, AL, 35124"
Greenvale Pediatrics- Alabaster,"1022 1st Ave N #102, Alabaster, AL, 35007"
Greenvale Pediatrics- Brook Highland,"101 Eagle Ridge Drive, Birmingham, AL, 35242"
Greenvale Pediatrics- Hoover,"5295 Preserve Pkwy #100, Birmingham, AL, 35244"
Gregory Stidham,"110 23rd St NW, Fayette, AL, 35555"
Greystone Family Medicine,"6930 Cahaba Valley Rd #102, Birmingham, AL, 35242"
Grotting Plastic Surgery,"One Inverness Center Pkwy #100, Birmingham, AL, 35242"
"Gulf Coast Health and Rehabilitation, LLC","8002 Grelot Rd, Mobile, AL, 36695"
Gulf Coast Pediatrics,"5675 Three Notch Road, Mobile, AL, 36619"
Gulf Coast Premier Medical,"619 E Laurel Ave, Foley, AL, 36535"
Gulf Shore Pediatrics,"232 Office Park Drive, Gulf Shores, AL, 36542"
Haley Dermatology,"202 Rock Creek Pkwy, Fairhope, AL, 36532"
Haley/Forefront Derm - Foley,"1620 N. Mckenzie St, Foley, AL, 36535"
Haley/Forefront Derm - Foley Late Add-on,"1620 N. Mckenzie St, Foley, AL, 36535"
Hana Residence 2740 Hearthsong Loop,"2740 Hearthsong Loop , Round Rock, TX, 78665"
Happi Health,"813 Franklin St SE, Huntsville, AL, 35801"
Happi Health Mid Day,"813 Franklin Street, Huntsville, AL, 35801"
Happi Health Sparkman Drive,"2597 Sparkman Drive, Huntsville, AL, 35810"
Harry Kuberg,"15525 Hwy 43, Russellville, AL, 35653"
Hatley Health Care,"300 Medical Center Drive, Clanton, AL, 35045"
Health Plus Auburn,"1171 Gatewood Dr # 101, Auburn, AL, 36830"
Healthy Kids of Gardendale,"1127 Pecan Ave, Gardendale, AL, 35071"
Hector Salemi- Castro - Evergreen,"420 w front st, Evergreen , AL, 36401"
Helen Keller OBGYN,"1100 S Jackson Hwy Suite 259, Sheffield, AL, 35660"
Hemberg / Premier Family (Sharma),"101 N 24th Street, Opelika, AL, 36801"
Hemberg / Premier Family Midday (Sharma),"101 N 24th St, Opelika, AL, 36801"
Hendrix Health and Rehab- supply drop,", , , "
Hendrix Healthcare,"1000 Hwy 33, Double Springs, AL, 35553"
Heritage Health Care and Rehab,"1101 Snows Mill Ave, Tuscaloosa, AL, 35406"
Heritage Pediatrics,"3368 US 280 Ste 108, Alexander City, AL, 35010"
High Five,"2 Metroplex Dr, Birmingham, AL, 35209"
"Hill Country OBGYN - Austin, Tx","9805 Brodie LN, Austin, TX, 78748"
Hill Country OBGYN Dripping Springs,"13830 Sawyer Ranch Rd #101, Dripping Springs, TX, 78620"
Hilton Sandestin Beach and Golf Resort,"4000 Sandestin Blvd, Miramar Beach, FL, 32550"
"Hiren K Patel, MD","1941 1st Ave, Opelika, AL, 36801"
Holcomb Laser Center,"1813 Kress St, Cullman, AL, 35058"
Home Pickup,"224 Cahaba Oaks Trail, Indian Springs, AL, 35124"
Hoover ENT,"2116 Data Park Circle, Hoover, AL, 35244"
Hoover Foot Center,"2321 Hwy 150, Suite 121, Hoover, AL, 35244"
Hoover Foot Center- Blount,"150 Gilbreath Dr, Oneonta, AL, 35121"
Hoover Urgent Care,"2503 John Hawkins Pkwy, Hoover, AL, 35244"
Hoover Urgent Care- Midday,"2503 John Hawkins Pkwy, Birmingham, AL, 35244"
Hope Medical Clinic,"309 W Grand Ave, Rainbow City, AL, 35906"
Hospice of West Alabama,"3851 Loop road, Tuscaloosa, AL, 35404"
Hotel Effie,"1 Grand Sandestin Blvd, Miramar Beach, FL, 32550"
Hunter Creek Health and Rehab,"600 McFarland Blvd, Northport, AL, 35473"
Hunter Creek Health and Rehab- Monday Noon,", Northport, AL, 35473"
Hunter Creek Health and Rehab- supply drop,", , , "
Huntsville Family Health Center,"751 Pleasant Row NW, Huntsville, AL, 35816"
Huntsville Health and Rehab,"4010 Chris Dr, Huntsville, AL, 35802"
Huntsville Health and Rehab- supply drop,", , , "
Huntsville Hospital,"101 Sivley Rd SW, Huntsville, AL, 35801"
Huntsville Hospital Drive Thru Covid Clinic,", Huntsville, AL, "
Huntsville Hospital Fever Clinic,"101 Sivley Rd SW, Huntsville, AL, 35801"
Huntsville Hospital OBGYN,"401 Lowell Dr #5, Huntsville, AL, 35801"
Huntsville Office Midday Pick up,"303 Williams Ave, Huntsvile, AL, 35801"
Huntsville Pick ups From David 7:30pm,"303 Williams Ave, Huntsville, AL, 35801"
Huntsville Pickups for David,"303 Williams Ave, Huntsville, AL, 35801"
Hyundai Glovis,"300 Hyundai Blvd, Montgomery, AL, 36105"
Image of Eve Restored,"185 Whitesport Drive, Huntsville, Al, 35801"
Internal Medical Associates - Dothan,"210 Westside Dr, Dothan, AL, 36303"
Internal Medicine Affiliates,"516 Tuscaloosa Ave SW, Birmingham, AL, 35211"
Internal Medicine Associates - Montgomery,"6940 Winton Blount Blvd , Montgomery , AL, 36117"
Internal Medicine Associates Montgomery Midday,"6940 Winton Blount Blvd, Montgomery, AL, 36117"
Internal Medicine Associates of Tuscaloosa,"100 Rice Mine Rd Unit B, Tuscaloosa, AL, 35406"
Internal Medicine South,"260 Health Center Dr, Clanton, AL, 35045"
Inverness Dermatology and Laser,"250 Inverness Center Dr, Birmingham, AL, 35243"
"Iqbal Saeed, MD","2227 Drake Ave SW #7A, Huntsville, AL, 35805"
Iron Guard Storage - Montgomery,"4176 Troy Highway, Montgomery , AL, 36116"
Isbell Medical Group OBGYN,"550 Medical Center Dr SW, Fort Payne, AL, 35968"
Isbell Medical Group Pediatrics,"550 Medical Center Dr SW, Fort Payne, AL, 35968"
Ivy Creek Family Care Holtville,"4412 Hogan Road, Deatsville, AL, 36022"
J Scott Robertson MD,"2001 Providence Park, Birmingham, AL, 35242"
Jackson Clinic - Greenville ,"321 Greenville Bypass, Greenville , AL, 36037"
Jackson Clinic - Pike Rd ,"9521 Vaughn Road , Pike Road, AL, 36064"
Jackson Clinic - Pike Road Midday,"9521 Vaughn Road, Pike Road, AL, 36064"
Jackson Clinic - Pine St (After 6),"1801 Pine St. Suite 103, Montgomery , AL, 36106"
Jackson Clinic Family Medicine - Midtown Carmichael,"4150 Carmichael Rd Ste 8, Montgomery , AL, 36106"
Jackson Clinic Family Medicine - Pine Level / Deatsville,"2175 Hwy 31 N , Deatsville , AL, 36022"
Jackson Clinic OBGYN Ste 201,"1758 Park Place, Suite 201, Montgomery, AL, 36106"
Jackson Clinic OBGYN Ste 301,"1758 Park Pl ste 301 , Montgomery , AL, 36106"
Jackson Clinic Prattville - Hoy,"701 McQueen Smith Rd S, Prattville, Al, 36066"
Jackson Clinic Prattville - Woodfin,"701 McQueen Smith Rd S, Prattville, AL, 36066"
Jackson Clinic Prattville -Specialty & Urgent Care,"1840 E Main St, Prattville, AL, 36066"
Jackson Clinic Primary Care,"204 Medical Center Drive, Prattville, AL, 36066"
Jackson Otolaryngology,"1111 Olive Street, Montgomery, AL, 36116"
Jacksonville Health and Rehab,"410 Wilson Dr SW, Jacksonville, AL, 36265"
Jacksonville Health and Rehab- supply drop,", , , "
Jasper Family Practice,"2201 N Airport Rd , Jasper, AL, 35504"
Jasper Podiatry,"804 20th Ave E, Jasper, AL, 35501"
Jasper Urology,"3400 Highway 78, Ste 412, Jasper, AL, 35504"
"Jeffrey Johnson, MD","1201 Somerville Rd SE, Decatur, AL, 35601"
Jemison Internal Medicine,"24548 US-31, Jemison, AL, 35085"
Jerry Harrison Family Practice,"904 26th St, Haleyville, AL, 35565"
John Knox Manor II,"4401 Narrow Lane Road, Montgomery, AL, 36116"
"JOL Healthcare Hospice - Kyle, TX","1300 Dacy Ln Ste 150, Kyle , TX, 78640"
Jollyville Pediatrics,"11851 Jollyville Rd #204, Austin, TX, 78759"
Jose R Caballero Pediatrics,"901 Leighton Ave, Suite #703, Anniston, AL, 36207"
Juniper Pediatrics,"2631 Gattis School Rd, Round Rock, TX, 78664"
JW Stewart Neighborhood Health & Wellness,"1409 Springfield Ave, Gadsden, AL, 35903"
Keel And Associates,"1612 US-78, Oxford, AL, 36203"
Keel and Associates - Mid Day,"1612 Us Highway 78 E Ste 100, Oxford, AL, 36203"
Keller Landing,"813 Keller Ln, Tuscumbia, AL, 35674"
"Kevin Jackson, MD","2430 Village Professional Dr., Opelika, AL, 36801"
Kevin Kelly Russellville Urgent Care,"13150 Hwy 43, Russellville , AL, 35653"
Kids Clinic Pediatric & Adolescent Medicine,"119 Stephen J White Blvd, Talladega, AL, 35160"
Kids Cove Pediatrics,"5729 Cove Commons Drive SE Suite C, Brownsboro, AL, 35741"
Labcorp- Birmingham,"1801 First Ave S, Birmingham, AL, 35233"
Lake View Family Foot Care,"1604 Blount Ave, Guntersville, AL, 35976"
Lakeshore Family Practice- Guntersville,"2308 Homer Clayton Dr, Guntersville, AL, 35976"
Lakeside Hospice,"4110 Masters Road, Pell City, AL, 35128"
Lawrence Medicine,"551 Glover Ave, Enterprise, AL, 36330"
Legacy Health and Rehab of Pleasant Grove,"30 7th St, Pleasant Grove, AL, 35124"
Legend Medical Clinic,"3000 Joe Dimaggio Blvd Ste 65, Round Rock, Tx, 78665"
Liberty Pediatrics,"3735 Corporate Woods Drive, Suite 105, Vestavia Hills, AL, 35242"
Lighthouse Pediatrics,"601 W Whitestone Blvd Unit 308, Cedar Park, Tx, 78613"
Lincoln Family Practice,"1100 Patton Chapel Rd, Lincoln, AL, 35096"
Lineville Health and Rehab,"88073 Hwy 9, Lineville, AL, 36266"
Lorna Cabreros MD,"5982 Berryhill Road, Milton, FL, 32570"
Luverne Health and Rehab,"142 West 3rd St, Luverne, AL, 36049"
Luverne Health and Rehab- supply drop,", , , "
Madison Hospital Lab,"8375 Hwy 72 W, Madison, AL, 35758"
Madison Medical Associates,"3809 Sullivan St #4, Madison, AL, 35758"
Madison Valley Pediatrics,"101 Westover Circle, Ste A, Madison, AL, 35758"
Magnolia Pediatrics - Bham,"1621 11th Ave South Suite 100, Birminham, AL, 35205"
Magnolia Pediatrics Midday,"1621 11th Ave S suite 100, Birmingham , AL, 35205"
Magnolia Ridge Care and Rehab,"420 Dean Dr., Gardendale, AL, 35071"
Magnolia Springs Pediatrics,"14975 US-98, Magnolia Springs, AL, 36555"
Main Street-Alexander City,"2508 US Hwy 280, Alexander City, AL, 35010"
Main Street-Andalusia,"508 E. Three Notch St., Andalusia, AL, 36420"
Main Street-Arab,"1420 North Brindlee Mountain Pkwy Suite A-1, Arab, AL, 35016"
Main Street-Brewton,"2134 Douglas Ave., Brewton, AL, 36426"
Main Street-Centre,"1925 West Main St., Centre, AL, 35960"
Main Street-Eufaula,"1026 South Eufaula Ave., Eufaula, AL, 36027"
Main Street-Millbrook,"1401 AL Hwy 14, Millbrook, AL, 36054"
Main Street-Mobile,"6280 Grelot Rd., Mobile, AL, 36609"
Main Street-Monroeville,"1195 South Alabama Hwy, Monroeville, AL, 36460"
Main Street-Moody,"2211 Moody Pkwy, Moody, AL, 35004"
Main Street-Oneonta,"2022 2nd Ave. East, Oneonta, AL, 35121"
Main Street-Pelham,"300 Big Mountain Rd. , Pelham, AL, 35124"
Main Street-Selma,"1475 AL Hwy 14 East, Selma, AL, 36703"
Main Street-Sylacauga,"40900 US Hwy 280, Sylacauga, AL, 35150"
Main Street-Talladega,"837 E. Battle St., Talladega, AL, 35160"
Main Street-Valley,"3306 20th Ave. , Valley, AL, 36854"
Malone OBGYN,"1610 Opelika Rd, Ste B, Phenix City, AL, 36867"
Marble City Family Care & Obstetrics,"11 N Norton Ave, Sylacauga, AL, 35150"
Marion Military Institute,"1101 Washington St, Marion, AL, 36756"
"Martha Jo Christian, MD","1716 Temple Ave N #4, Fayette, AL, 35555"
Martin View Assisted Living,"2015 32nd St, Northport, AL, 35475"
Martin View Assisted Living-Monday Noon,", Northport, AL, 35475"
Mary Margaret Clapp,"3509 Watermelon Road, Northport , AL, 35473"
Masonite International,"300 Haleyville Industrial Rd, Haleyville, AL, 35565"
Mastin Internal Medicine,"2451 University Hospital Dr #102, Mobile, AL, 36617"
Maynor & Mitchell,"3501 Memorial Pkwy #200, Huntsville, AL, 35801"
McCool and Bhuta,"3055 Independence Dr, Homewood, AL, 35209"
MD VIP Tim Real,"4704 Cahaba River Rd suite 1A, Birmingham, AL, 35243"
"MD2 - Austin,TX","4301 Bull Creek Road, Austin, TX, 78731"
MDVIP Chavez,"3101 State Hwy 71 E 101, Bastrop, TX, 78602"
Med360-Jasper,"1700 Hwy 78 East, Jasper, AL, 35501"
Med360-Winfield,"125 Bob Lawrence Dr, Winfield, AL, 35594"
Medhelp 280,"4600 US-280, Birmingham, AL, 35242"
Medhelp Lakeshore,"1 W Lakeshore Dr suite 100, Birmingham, AL, 35209"
Medhelp Narrows,"151 Narrows Pkwy, Birmingham, AL, 35242"
Medhelp Pelham,"3170 Pelham Pkwy, Pelham, AL, 35124"
Medhelp Samford,"2126 Lakeshore Dr, Birmingham, AL, 35209"
Medhelp Trussville,"5915 Chalkville Mtn Rd suite 100, Birmingham, AL, 35235"
MedHelp Women's-Dr Tamucci/Lakeshore,"1 W Lakeshore Dr  #100, Birmingham, AL, 35209"
Medical East Athens,"15243 Greenfield Dr, Athens, AL, 35613"
Medical East Decatur,"2941 Point Mallard Pkwy SE, Decatur, AL, 35603"
Medical West Gastroenterology,"5000 Medical West Way #402, Bessemer, AL, 35022"
Medical West OBGYN,"5000 Medical West Way MOB #310, Bessemer, AL, 35022"
Merry Wood Lodge,"280 Mt Hebron Rd, Elmore, AL, 36025"
"Michael S. Beckenstein, MD","800 St Vincent's Dr #610, Birmingham, AL, 35205"
Mission Medical Clinic,"14001 US-43 suite 24, Russellville, AL, 35653"
Mobile/Eastern Shore Supply Drop,", , , "
Model City Pediatrics,"1300 Leighton Ave, Anniston, AL, 36207"
Model City Pediatrics Midday,"1300 Leighton Ave, Anniston, AL, 36207"
Molecular Designs Machine - Baton Rouge,", , , "
Montgomery Children's Specialty Center,"2853 Forbes Dr, Montgomery, AL, 36110"
Montgomery Supplies/Samples Midday,"1801 Pine St. Suite 103 , Montgomery , AL, 35106"
Moundville Health and Rehab,"121 Union St, Moundville, AL, 35474"
Moundville Health and Rehab- Monday Noon,", Moundville, AL, 35474"
Moundville Health and Rehab- supply drop,", , , "
Mountain Lake Urology - Scottsboro,"750 Bryron Rd, Scottsboro, AL, 35769"
Mulberry Medical LLC,"2100 Chestnut St, Montgomery, AL, 36106"
Naaman Clinic,"100 Concourse Pkwy @265, Birmingham, AL, 35244"
Nabers Family Medical clinic ,"219 Hospital Rd, Red Bay, AL, 35582"
NEARMC,"1701 Pelham St. , Anniston, AL, 36201"
New Leaf Medical Clinic,"710 W Hobbs Street , Athens, AL, 35611"
New South Psychiatry Mobile,"3209 Midtown Park S, Mobile, AL, 36606"
NHS Training Center,"651 Beacon Parkway West Suite 213, Birmingham, AL, 35209"
NHS Training Supplies Monday,", Birmingham, AL, 35209"
NHS Training Tuesday,", Birmingham, AL, 35209"
North Alabama Family Medicine,"101 Westover Circle, Ste B, Madison, AL, 35758"
North Alabama Internal Medicine,"1316 Somerville Rosd, Decatur, AL, 35601"
North Alabama Regional Medical Center,"1701 Veterans Dr, Florence, AL, 35630"
North Baldwin Family Medicine,"2002 Medical Center Dr, Bay Minette, AL, 36507"
North Baldwin Infirmary,"1815 Hand Ave, Bay Minette, AL, 36505"
North Baldwin Pediatrics,"2002 McMillan Ave, Bay Minette, AL, 36507"
North Dekalb Primary Care- Valley Head,"136 Commerce Ave, Valley Head, AL, 35989"
North Dekalb Primary- Fort Payne,"106 45th Street, Fort Payne, AL, 35967"
Northeast Alabama Health Services- Fort Payne,"3840 Gault Ave N, Fort Payne, AL, 35967"
Northeast Alabama Health Services- Fyffe,"34617 AL Hwy 75, Fyffe, AL, 35971"
Northeast Alabama Health Services- Sand Mountain,"29810 Hwy 71, Bryant, AL, 35958"
Northeast Alabama Health Services- Scottsboro,"70 Freedom Dr, Scottsboro, AL, 35769"
Northeast Alabama Health Services- Skyline,"21680 Alabama Hwy 79, Scottsboro, AL, 35768"
Northeast Alabama Health Services- Woodville,"13624 County Rd 8, Woodville, AL, 35776"
Northeast Alabama Health Sevices- Section,"60 Main St N, Section, AL, 35771"
Northeast Alabama Pediatrics,"829 Riverbend Drive, Gadsden , AL, 35901"
Northeast Regional Medical Center,"400 E 10th St, Anniston, AL, 36207"
Northport Urgent Care,"2810 Lurleen B Wallace Blvd, Northport, AL, 35476"
Northside Primary Care,"19570 Gorgas Rd, Northport, AL, 35475"
Northway Health and Rehab,"1424 N 25th St, Birmingham, AL, 35234"
Oak Knoll Health and Reahb,"824 6th Ave West, Birmingham, AL, 35234"
Oak Trace Care and Rehab Center- Bessemer,"325 Selma Rd, Bessemer, AL, 35020"
OBGYN Associates Madison,"1041 Balch Road Suite 250, Madison, AL, 35758"
OBGYN Associates of Alabama - St. Vincent's 119,"7191 Cahaba Valley Road Ste 206, Birminham, AL, 35242"
OBGYN Associates of Alabama- Gardendale,"2217 Decatur Hwy, Gardendale, AL, 35071"
OBGYN Associates of Alabama- St Vicent's,"800 St Vincents Dr #600, Birmingham, AL, 35205"
OBGYN Associates of Alabama St Vincents Midday,"800 St Vincents Dr  Ste 600 N Tower, Birmingham, AL, 35205"
OBGYN of West Alabama,"2750 Hospital Dr, Northport, AL, 35476"
Opp Health and Rehab,"115 Paulk Ave, Opp, AL, 36467"
Opp Health and Rehab- supply drop,", , , "
OrthoAlabama - Hoover,"118 Mars Hill Road, Hoover, AL, 35244"
OrthoAlabama - Hoover Midday,"118 Mars Hill Rd, Hoover, AL, 35244"
OrthoAlabama - Trussville Midday,"1801 Gadsden Hwy, Birmingham, AL, 35235"
OrthoAlabama Trussville Evening,"1801 Gadsden Hwy, Birmingham, AL, 35235"
Oxmoor Medical Group,"1817 Oxmoor Rd, Homewood, AL, 35209"
Ozark Health and Rehab,"312 Bryan Dr, Ozark, AL, 36360"
Ozark Health and Rehab- supply drop,", , , "
Palm Gardens Health and Rehab,"3104 Dauphin Square Connector, Mobile, AL, 36607"
Park Manor Health and Rehab,"2201 Mcfarland Blvd, Northport, AL, 35476"
Park Manor Health and Rehab- Monday Noon,", Northport, AL, 35476"
Park Manor Health and Rehab- supply drop,", , , "
Park Place Pediatrics,"3735 Corporate Woods Drive Ste 105, Birmingham, AL, 35242"
Pathway Healthcare - Hamilton,"2131 Military Street S. , Hamilton, AL, 35570"
Pediatric Adolescent Medicine,"618 Medical Center Pkwy, Selma, AL, 36701"
Pediatric Associates of Alexander City,"1962 Cherokee Rd, Alexander City, AL, 35010"
Pediatric Associates of Alexander City - Kellyton,"21 Coosa County Rd 50, Kellyton, AL, 35089"
Pediatric Associates of Auburn,"2901 Corporate Park Dr, Opelika, AL, 36801"
Pediatric Associates of Auburn Midday,"2901 Corporate Park Dr, Opelika, AL, 36801"
Pediatric Associates of Auburn Weekend,"2901 Corporate Park Dr, Opelika, AL, 36801"
Pediatric Associates of Mobile,"740 Museum Dr., Mobile , AL, 36608"
Pediatric Associates of Valley,"4800 20th Ave, Valley, AL, 36854"
Pediatric Clinic Auburn,"760 East Glenn Ave, Auburn, AL, 36830"
Pediatric Clinic Auburn Midday,"760 East Glenn Ave, Auburn, AL, 36830"
Pediatric Clinic LLC Opelika,"2401 Village Professional Dr, Opelika, AL, 36801"
Pediatric Clinic LLC Opelika- Weekend,"2401 Village Professional Dr S, Opelika, AL, 36801"
Pediatric Clinic Opelika Midday,"2401 Village Professional Dr, Opelika, AL, 36801"
Pediatric Dental Associates Medplex,"3000 Southlake Park #200, Birmingham, AL, 35244"
Pediatric Dental Associates Oxford,"1409 Hamric Drive E, Oxford, AL, 36203"
Pediatric Partners Mobile Dr. Yoder,"1605 S University Blvd, Mobile, AL, 36609"
Pediatric Partners of Mobile,"1605 S University Blvd, Mobile, AL, 36609"
Pediatrics East - Trussville,"520 Simmons Dr, Trussville, AL, 35173"
Pediatrics Plus,"3312 Henry Rd, Anniston, AL, 36207"
Pediatrics Plus Midday,"Henry, Anniston, AL, 36207"
Pediatrix Specialty care of Austin,"5301 Davis Ln suite 200a, Austin, TX, 78749"
Perry County Nursing Home,"505 E Lafayette St, Marion, AL, 36756"
Phenix City Children's & Family Care,"3700 South Railroad St, Phenix City, AL, 36867"
Phil Campbell Medical Clinic,"2930 AL -237 , Phil Campbell, AL, 35881"
Phillip G Robbins,"108 5th St NE, Alicville, AL, 35442"
Physicians to Children ,"470 Taylor Road Suite 210 , Montgomery , AL, 36117"
Pickens County Primary Care,"108 4th Ave NE A, Reform, AL, 35481"
Pike Internal Medicine,"1350 Hwy 231 South Suite B, Troy, AL, 36081"
Plastic Surgery Specialists - Liberty Park,"2000 Stonegate Trail, Vestavia Hills, AL, 35242"
Podiatry Associates,"1101 18th Street South, Birmingham, AL, 35205"
Podiatry Associates of Sylacauga,"9 Western Ave, Sylacauga, AL, 35150"
Podiatry Health Center,"204 Ludes Way, Dothan, AL, 36303"
Podiatry Health Center,"204 Luds Way, Dothan, AL, 36303"
Prattville Health and Rehab,"601 Jasmine Trail, Prattville, AL, 36068"
Prattville Health and Rehab- supply drop,", , , "
Prattville Medical Clinic,"1739 E Main St, Prattville , AL, 36066"
Prefered Medical Group,"2112 Executive Park Dr, Opelika, AL, 36801"
Prefered Medical Group- Fort Mitchell,"2 Gilmore Rd, Fort Mitchell, AL, 36856"
Preferred Medical Group 280 ,"5809 US-280, Opelika, AL, 36804"
Premier ENT West ,"3701 Dauphin Str, Mobile, AL, 35505"
Premier Family Care Clinic,"30050 State Hwy 181 ESC STE 450, Spanish Fort, AL, 36527"
Premier Med Group ENT East 346,"2880 Dauphin St, Mobile , AL, 36606"
